id_vivienda,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes
2014_bar_49839,barranquilla,49839.0,5.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,si,1.0,básica secundaria,1.0,3.0,no,apartamento,2.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,no,no,si,no,no,a veces,mejor,no,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,en arriendo o subarriendo,no muy feliz,insatisfecho,entre 2 y 5 salarios mínimos
2014_bar_84767,barranquilla,84767.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,no,0.0,básica secundaria,0.0,1.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,si,no,no,no,no,no,a veces,peor,no,control sobre algunas decisiones,poco probable,no,menos de 1 salario mínimo,no,"propia, totalmente pagada",bastante feliz,insatisfecho,entre 1 y 2 salarios mínimos
2014_bar_847116,barranquilla,847116.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,no,1.0,básica secundaria,0.0,1.0,no,apartamento,7.0,no,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas propano (en cilindro o pipeta),si,no,si,si,no,no,no,no,no,si,no,si,no,no,a menudo,peor,no,control sobre todas las decisiones,muy probable,si,menos de 1 salario mínimo,no,otra,no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos
2014_bar_48744,barranquilla,48744.0,10.0,6.0,4.0,1.0,0.0,1.0,1.0,8.0,no,1.0,básica secundaria,2.0,3.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,no,no,si,no,si,no,no,a veces,igual,no,control sobre algunas decisiones,muy poco probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,insatisfecho,entre 2 y 5 salarios mínimos
2014_bar_48838,barranquilla,48838.0,8.0,4.0,4.0,0.0,0.0,3.0,2.0,3.0,no,3.0,básica secundaria,2.0,2.0,no,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,a menudo,peor,no,control sobre muy pocas decisiones,algo probable,si,menos de 1 salario mínimo,no,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos
2014_bar_84741,barranquilla,84741.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,no,0.0,básica secundaria,0.0,2.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,si,no,no,si,no,si,no,no,a veces,igual,no,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_74968,barranquilla,74968.0,5.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,no,0.0,básica secundaria,1.0,2.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,no,no,si,no,no,a veces,igual,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_74652,barranquilla,74652.0,7.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,no,2.0,básica secundaria,0.0,3.0,si,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,si,si,raramente,igual,si,control sobre todas las decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,en arriendo o subarriendo,bastante feliz,muy satisfecho,entre 2 y 5 salarios mínimos
2014_bar_95240,barranquilla,95240.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,no,1.0,básica secundaria,1.0,1.0,si,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,no,si,no,no,no,no,no,si,si,si,no,no,raramente,igual,no,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_85108,barranquilla,85108.0,6.0,2.0,4.0,1.0,1.0,2.0,0.0,4.0,si,2.0,media,1.0,1.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas propano (en cilindro o pipeta),si,no,no,si,no,no,no,no,no,si,no,si,no,no,a veces,igual,no,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_49739,barranquilla,49739.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,no,1.0,básica primaria,1.0,1.0,no,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,no,no,no,no,no,no,no,si,no,no,a menudo,peor,no,control sobre todas las decisiones,poco probable,si,menos de 1 salario mínimo,no,"propia, totalmente pagada",no muy feliz,muy insatisfecho,entre 1 y 2 salarios mínimos
2014_bar_849101,barranquilla,849101.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,no,1.0,básica secundaria,1.0,1.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,si,no,no,si,no,no,si,no,si,no,no,a veces,igual,no,control sobre todas las decisiones,muy poco probable,no,menos de 1 salario mínimo,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_747106,barranquilla,747106.0,8.0,4.0,4.0,1.0,0.0,4.0,1.0,3.0,no,1.0,universitaria,3.0,1.0,si,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,no,no,raramente,peor,no,control sobre algunas decisiones,poco probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,insatisfecho,entre 2 y 5 salarios mínimos
2014_bar_84822,barranquilla,84822.0,5.0,1.0,4.0,1.0,1.0,3.0,0.0,2.0,no,3.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,no,no,si,si,no,raramente,mejor,no,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_157590,barranquilla,157590.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,no,0.0,universitaria,0.0,1.0,no,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,nunca,mejor,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos
2014_bar_138431,barranquilla,138431.0,5.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,no,2.0,básica secundaria,0.0,2.0,no,apartamento,2.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,raramente,igual,no,control sobre todas las decisiones,algo probable,no,entre 2 y 5 salarios mínimos,no,en arriendo o subarriendo,muy feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_157444,barranquilla,157444.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,si,2.0,universitaria,2.0,3.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,a menudo,peor,no,control sobre algunas decisiones,muy probable,si,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos
2014_bar_771526,barranquilla,771526.0,6.0,3.0,3.0,1.0,1.0,2.0,0.0,4.0,no,2.0,universitaria,0.0,4.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,si,si,no,si,si,no,raramente,igual,no,control sobre algunas decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,muy satisfecho,entre 2 y 5 salarios mínimos
2014_bar_157251,barranquilla,157251.0,7.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,no,2.0,básica secundaria,0.0,3.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,raramente,igual,no,control sobre la mayoría de decisiones,algo probable,no,entre 2 y 5 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos
2014_bar_1570150,barranquilla,1570150.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,no,3.0,universitaria,0.0,3.0,no,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,raramente,igual,no,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,muy satisfecho,entre 2 y 5 salarios mínimos
2014_bar_157235,barranquilla,157235.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,no,1.0,básica secundaria,0.0,1.0,no,casa,2.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,si,no,a veces,igual,no,control sobre todas las decisiones,algo probable,si,menos de 1 salario mínimo,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
