id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,internet,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo
2015_bar_1,3.0,barranquilla,1.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,no,3.0,universitaria,0.0,4.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,si,si,si,si,si,no,nunca,mejor,si,si,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,3.0,si,nunca,nunca,nunca,nunca,no
2015_bar_2,2.0,barranquilla,2.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,2.0,no,1.0,universitaria,0.0,1.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,si,si,si,no,nunca,peor,si,si,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,2.0,no,nunca,nunca,nunca,nunca,no
2015_bar_3,3.0,barranquilla,3.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,5.0,no,0.0,media,0.0,5.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,si,si,no,si,si,si,nunca,mejor,si,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,posesión sin titulo o propiedad colectiva,bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,si,nunca,nunca,nunca,nunca,no
2015_bar_4,3.0,barranquilla,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,no,1.0,media,0.0,3.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,si,si,si,si,si,no,nunca,mejor,si,no,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,3.0,si,nunca,nunca,nunca,nunca,si
2015_bar_5,2.0,barranquilla,5.0,7.0,5.0,2.0,1.0,1.0,0.0,0.0,6.0,no,0.0,básica secundaria,0.0,7.0,no,casa,6.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,no,no,nunca,mejor,si,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,no,a veces,nunca,nunca,nunca,si
2015_bar_6,2.0,barranquilla,6.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,no,1.0,básica secundaria,0.0,2.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,si,si,no,si,si,si,nunca,mejor,si,si,control sobre todas las decisiones,muy probable,no,más de 5 salarios mínimos,si,en arriendo o subarrendada,muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,3.0,si,nunca,nunca,nunca,nunca,no
2015_bar_7,3.0,barranquilla,7.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,si,2.0,media,0.0,1.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,no,si,si,no,no,si,no,si,si,no,si,no,nunca,mejor,si,si,control sobre todas las decisiones,poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,3.0,no,nunca,nunca,nunca,nunca,si
2015_bar_8,2.0,barranquilla,8.0,5.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,no,2.0,básica secundaria,0.0,2.0,si,casa,6.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,si,no,no,si,no,no,nunca,mejor,si,no,control sobre la mayoría de decisiones,poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,2.0,si,nunca,a veces,nunca,nunca,no
2015_bar_9,2.0,barranquilla,9.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,no,0.0,técnica/tecnológica,0.0,2.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,nunca,mejor,si,si,control sobre todas las decisiones,algo probable,no,menos de 1 salario mínimo,si,en arriendo o subarrendada,no muy feliz,satisfecho,menos de 1 salario mínimo,2.0,no,nunca,nunca,nunca,nunca,no
2015_bar_10,2.0,barranquilla,10.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,no,2.0,universitaria,0.0,2.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,a veces,mejor,si,si,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarrendada,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,si,a menudo,a veces,nunca,nunca,no
