id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,max_antigüedad_empleo_años,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo,ingreso_mensual_hogar
2019_pue_1,2.0,puerto colombia,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,no,0.0,1.0,1.0,si,raramente,igual,no,no,control sobre algunas decisiones,poco probable,no,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,3.0,a veces,a veces,raramente,nunca,no,900000.0
2019_mal_2,1.0,malambo,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,no,0.0,0.0,2.0,si,a veces,mejor,si,si,control sobre la mayoría de decisiones,poco probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,3.0,raramente,raramente,raramente,raramente,no,1200000.0
2019_mal_3,1.0,malambo,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,1.0,0.0,1.0,si,nunca,mejor,si,no,control sobre todas las decisiones,nada probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,0.25,nunca,nunca,nunca,nunca,no,828116.0
2019_gal_4,1.0,galapa,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,no,0.0,0.0,0.0,no,a veces,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,menos de 1 salario mínimo,3.0,0.0,a menudo,siempre,siempre,nunca,no,350000.0
2019_mal_5,1.0,malambo,5.0,5.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,no,2.0,0.0,1.0,si,nunca,mejor,si,no,control sobre todas las decisiones,nada probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,0.25,nunca,nunca,nunca,nunca,no,828116.0
2019_gal_6,2.0,galapa,6.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,2.0,0.0,0.0,no,raramente,igual,si,no,control sobre todas las decisiones,poco probable,no,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,0.0,a menudo,nunca,raramente,raramente,no,650000.0
2019_gal_7,2.0,galapa,7.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,no,raramente,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,2.0,0.0,nunca,raramente,raramente,raramente,no,840000.0
2019_gal_8,1.0,galapa,8.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,no,2.0,0.0,1.0,si,a veces,mejor,si,no,control sobre todas las decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,9.0,nunca,raramente,nunca,nunca,no,828116.0
2019_gal_9,1.0,galapa,9.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,no,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,3.0,0.0,nunca,a veces,raramente,a veces,no,780000.0
2019_gal_10,1.0,galapa,10.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,no,0.0,0.0,0.0,si,nunca,igual,si,no,control sobre algunas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,0.0,nunca,nunca,nunca,nunca,no,953000.0
